Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of movement,Rate of movement,Activity,Distribution,Style,Failure mechanism,Geomorphology,Land use/Land cover,Hydrological condition,Triggering Factor,Risk
18.29186111,73.58819444,25,16,15,105,3,0.5,6.2,Rock,Slide,Very rapid,Reactivated,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, joint orientation conditions",Moderate
18.1275,73.59430556,15,15,13,79.6,1.5,105.2,4.4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.13241667,73.60616667,13,10,8,63.6,1.5,74,43.8,Debris-cum-rock,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,Rainfall,Low
18.12875,73.60702778,8,8,4.2,26.2,0.5,16,2.8,Rock,Fall,Rapid,Suspended,Enlarging,Multiple,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.12258333,73.60594444,10,10,8,46.1,1,36.5,15.4,Rock,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Joint orientation conditions, Anthropogenic factors",Low
18.11219444,73.61305556,9,10,7,42.9,1,37.5,7.6,Rock-cum-debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11063889,73.61605556,15,12,10,88.8,2,122.4,6.6,Debris,Slide,Rapid,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.10372222,73.62722222,12,25,10,125.2,0.5,208,4.5,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.09480556,73.63727778,20,13,12,82.6,2,163.2,17.6,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.10057639,73.63974833,60,50,45,553.8,1.5,2118.8,200,Debris,Slide,Very rapid,Reactivated,Enlarging,Multiple,Deep Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11497222,73.67619444,10,100,8,312,1.5,285.6,2.7,Debris,Slide,Rapid,Reactivated,Enlarging,Multiple,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11572222,73.67626944,30,35,25,511,2,1502.6,16,Debris,Slide,Rapid,Reactivated,Widening,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.1165,73.67769444,12,8,9,34.6,1,39.4,2,Debris,Slide,Rapid,Reactivated,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11205,73.682075,30,80,18,318.4076,3,548.9216,3,Debris,Slide,Moderate,Reactivated,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11308333,73.69027778,13,40,11,229,1,442,11.1,Rock-cum-debris,Slide,Rapid,Reactivated,Retrogressive,Multiple,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.11911111,73.68769444,95,50,40,1005,15,3650,182,Debris,Slide,Moderate,Reactivated,Enlarging,Single,Deep Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.10680556,73.70291667,20,25,12,207.7,3,379.5,3.5,Debris,Slide,Moderate,Reactivated,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Low
18.117117,73.696431,12,10,4,60,0.6,36,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.118147,73.692665,15,35,3,263,2,525,1,Debris,Slide,Moderate,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.114392,73.691453,5,8,1,20,1,20,1,Debris,Slide,Moderate,Active,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.11298,73.690824,5,4,1,10,0.3,3,1,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.112975,73.690651,12,6,2,36,2,72,3,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.111384,73.689535,6,20,1,60,0.5,30,1,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.128297,73.585215,80,30,34,1200,4,4800,40,Debris,Slide,Very rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",High
18.127487,73.586398,60,10,21,300,2,600,5,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.127175,73.586911,100,20,42,1000,3,3000,170,Debris,Slide,Very rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.125711,73.588009,8,10,4,40,1.5,60,3,Debris,Slide,Very rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.125621,73.588332,12,10,8,60,2.5,150,150,Rock,Slide,Very rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.125457,73.588408,35,7,25,123,1,123,3,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.124595,73.588287,12,6,9,36,3,108,5,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.127899,73.593942,8,13,1,52,0.2,10,1,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.127986,73.594021,15,10,11,75,1.5,113,2,Debris,Slide,Moderate,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.12757,73.594871,12,25,3,150,1.5,225,1,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.127405,73.596613,8,5,1,20,1,20,1,Rock,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.127603,73.597045,40,15,23,300,2,600,5,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.133175,73.608174,90,10,85,450,1,450,100,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.131318,73.605851,9,16,5,72,2.5,180,5,Debris,Slide,Moderate,Suspended,Enlarging,Single,Deep Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.128994,73.605125,1,12,1,9,0.8,7,3,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.128271,73.604574,15,11,11,83,0.5,41,8.2,Debris,Slide,Rapid,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.127944,73.604458,12,6,9,36,0.4,14,40,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.126519,73.605882,64,14,45,448,0.5,224,230,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.125739,73.604599,180,12,163,1080,0.3,324,200,Rock,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.123895,73.602371,12,10,6,60,0.5,30,70,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.122498,73.602738,25,12,23,150,1,150,40,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,Rainfall,High
18.126428,73.60512,6,5,4,15,0.5,8,1,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Damp,Rainfall,Low
18.127722,73.606556,5,4,2,10,0.7,7,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.12845,73.607314,6,2,6,6,0.4,2,1,Rock,Fall,Rapid,Suspended,Enlarging,Single,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.128097,73.607185,5,4,5,10,0.5,5,5,Rock,Fall,Rapid,Suspended,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.127882,73.607126,5,2,5,6,0.5,3,2,Rock,Fall,Rapid,Suspended,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.127742,73.60704,7,3,7,11,5,53,2,Rock,Fall,Rapid,Suspended,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.127293,73.606823,10,15,10,75,0.4,30,2,Rock,Fall,Rapid,Suspended,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.1273,73.606693,11,3,11,17,0.6,10,2,Rock,Fall,Rapid,Suspended,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.125382,73.606219,7,4,7,14,0.5,7,3,Rock,Fall,Very rapid,Active,Enlarging,Complex,Shallow Planar,Highly Dissected slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.120174,73.603893,12,5,7,30,0.5,15,1,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.120041,73.603825,15,6,10,45,1,45,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.114236,73.605894,7,7,2,25,0.5,12,15,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.113721,73.606801,16,40,9,320,1.5,480,40,Debris,Slide,Moderate,Suspended,Enlarging,Multiple,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.113652,73.607359,9,15,7,68,0.5,34,1,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.113169,73.608723,22,10,13,110,1.5,165,5,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.112693,73.60957,25,2,11,25,1,25,15,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.112642,73.609756,5,4,4,10,0.5,5,10,Debris,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.112557,73.609966,3,2,2,4,0.5,2,7,Rock,Slide,Rapid,Active,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.111788,73.611071,8,7,6,28,0.5,14,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.112195,73.612394,20,10,14,100,1,100,40,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Moderately Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.111488,73.611124,15,12,11,90,2.5,225,2,Debris,Slide,Rapid,Reactivated,Widening,Single,Deep Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.111341,73.609896,24,8,18,96,0.7,67,60,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.110767,73.610504,20,7,17,70,0.3,21,25,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.110553,73.610449,35,8,30,140,0.5,70,30,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.108975,73.610218,60,25,25,750,2,1500,90,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.110907,73.6115,8,6,8,24,0.8,19,4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.11069,73.611696,18,3,17,27,1,27,70,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.110638,73.612053,25,20,23,250,2,500,15,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.110546,73.612194,5,3,5,8,1,8,17,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.107056,73.611882,55,17,32,468,1.5,701,180,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.110826,73.615806,20,30,17,300,2,600,30,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.110589,73.616003,5,5,3,13,0.4,5,1,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.109831,73.615422,25,5,19,63,0.5,31,10,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.108277,73.615884,20,8,16,80,0.6,48,1,Debris,Slide,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",High
18.105307,73.614409,100,18,50,900,1.5,1350,250,Debris,Flow,Very rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.107579,73.615942,9,6,6,27,1,27,5,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.107236,73.616366,6,4,5,12,2,24,10,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.107306,73.617026,15,11,8,83,1.5,124,20,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
18.107646,73.617176,8,15,7,60,2,120,16,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.107811,73.617539,8,7,4,28,1.5,42,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",Moderate
18.107514,73.617631,6,13,3,39,0.6,23,3,Debris,Slide,Moderate,Reactivated,Enlarging,Single,Shallow Rotational,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.107208,73.617669,3,3,2,5,0.3,2,4,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.106724,73.619925,7,7,5,25,0.3,7,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.106436,73.62027,4,11,3,22,0.4,9,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.106565,73.620546,7,8,4,28,0.6,17,4,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Damp,"Rainfall, anthropogenic factors",High
18.10641,73.621022,25,4,20,50,0.3,15,15,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,High
18.106259,73.621592,15,5,14,38,0.3,11,10,Debris,Slide,Rapid,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,Rainfall,Moderate
18.106482,73.62504,4,4,3,8,0.3,2,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.106306,73.625039,6,5,3,15,0.3,5,2,Debris,Slide,Moderate,Suspended,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Moderate
18.106079,73.62512,2,4,1,5,0.3,2,1,Debris,Slide,Moderate,Dormant,Enlarging,Single,Shallow Planar,Lowly Dissected Slope,Extensive Slope cut,Dry,"Rainfall, anthropogenic factors",Low
